STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,icha11_hf,Classification of health care financing schemes - SHA 2011,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,AT,Austria,2019,,17.92,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,BA,Bosnia and Herzegovina,2019,,29.35,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,BE,Belgium,2019,,19.81,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,BG,Bulgaria,2019,,37.80,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,CH,Switzerland,2019,,25.29,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,CY,Cyprus,2019,,33.73,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,CZ,Czechia,2019,,14.09,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,DE,Germany,2019,,13.36,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,DK,Denmark,2019,,13.79,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,EE,Estonia,2019,,23.93,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,EL,Greece,2019,,33.64,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,ES,Spain,2019,,21.76,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,EU27_2020,European Union - 27 countries (from 2020),2019,,15.70,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,FI,Finland,2019,,17.42,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,FR,France,2019,,9.46,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,HR,Croatia,2019,,11.46,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,HU,Hungary,2019,,27.79,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,IE,Ireland,2019,,11.83,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,IS,Iceland,2019,,15.55,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,IT,Italy,2019,,23.46,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,LI,Liechtenstein,2019,,21.60,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,LT,Lithuania,2019,,32.27,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,LU,Luxembourg,2019,,9.59,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,LV,Latvia,2019,,35.11,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,MT,Malta,2019,,34.13,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,NL,Netherlands,2019,,10.57,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,NO,Norway,2019,,13.92,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,PL,Poland,2019,,20.09,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,PT,Portugal,2019,,30.61,,,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),Health care expenditure by financing scheme,A,Annual,PC_CHE,Percentual share of total current health expenditure (CHE),HF3,Household out-of-pocket payment,RO,Romania,2019,,18.88,,,
